Dataset,Optimizer,Topology,objf_name,k,ExecutionTime,SSE,Purity,Entropy,HS,CS,VM,AMI,ARI,Fmeasure,TWCV,SC,Accuracy,DI,DB,STDev,iterations1,iterations2
flame,SSA,-,SSE,2,1.52,10.21,0.71,0.75,0.21,0.2,0.2,0.2,0.18,0.71,8.89,0.31,0.18,0.97,1.03,0.09,10.31,10.21
flame,PSO,-,SSE,2,1.72,8.14,0.64,0.92,0.02,0.02,0.02,0.02,0.01,0.56,8.03,0.3,0.01,0.96,0.94,0.07,10.31,8.14
flame,GA,-,SSE,2,1.62,8.56,0.64,0.94,0.01,0.01,0.01,0.0,-0.0,0.52,8.12,0.3,-0.0,0.96,0.95,0.07,9.62,8.56
flame,BAT,-,SSE,2,2.46,7.97,0.64,0.94,0.01,0.01,0.01,0.0,0.0,0.54,7.97,0.3,0.0,0.97,0.95,0.06,8.02,7.97
flame,FFA,-,SSE,2,3.35,10.31,0.72,0.73,0.23,0.22,0.23,0.22,0.19,0.72,8.97,0.31,0.19,0.97,1.03,0.09,10.31,10.31
flame,GWO,-,SSE,2,1.79,9.35,0.64,0.92,0.02,0.02,0.02,0.02,0.01,0.42,8.23,0.31,0.01,0.96,0.97,0.08,10.31,9.35
flame,WOA,-,SSE,2,1.61,9.28,0.68,0.81,0.14,0.14,0.14,0.14,0.12,0.68,8.58,0.31,0.12,0.98,1.0,0.09,10.31,9.28
flame,MVO,-,SSE,2,1.79,8.38,0.64,0.94,0.01,0.01,0.01,0.0,0.01,0.54,8.09,0.3,0.01,0.96,0.96,0.07,10.31,8.38
flame,MFO,-,SSE,2,2.02,10.31,0.72,0.73,0.23,0.22,0.23,0.22,0.19,0.72,8.97,0.31,0.19,0.97,1.03,0.09,10.31,10.31
flame,CS,-,SSE,2,4.23,8.7,0.64,0.87,0.08,0.08,0.08,0.08,0.05,0.62,8.27,0.3,0.05,0.97,0.94,0.08,9.2,8.7
flame,P_MPI_SSA,NETA,SSE,2,1.49,21.49,0.64,0.93,0.01,0.02,0.02,0.01,-0.03,0.41,10.71,0.32,-0.03,0.97,0.73,0.15,21.66,21.49
flame,P_MPI_PSO,NETA,SSE,2,1.97,15.31,0.86,0.51,0.46,0.44,0.45,0.45,0.52,0.86,11.95,0.36,0.52,0.97,1.53,0.13,26.77,15.31
flame,P_MPI_GA,NETA,SSE,2,1.71,14.56,0.64,0.92,0.03,0.03,0.03,0.03,-0.01,0.4,8.32,0.3,-0.01,0.96,0.87,0.12,18.84,14.56
flame,P_MPI_BAT,NETA,SSE,2,2.74,30.78,0.64,0.93,0.02,0.02,0.02,0.02,0.01,0.42,8.23,0.31,0.01,0.97,0.98,0.12,30.92,30.78
flame,P_MPI_FFA,NETA,SSE,2,1.97,12.15,0.64,0.94,0.01,0.01,0.01,0.0,-0.01,0.45,8.62,0.3,-0.01,0.97,0.88,0.1,16.27,13.28
flame,P_MPI_GWO,NETA,SSE,2,1.93,16.99,0.79,0.61,0.36,0.34,0.35,0.34,0.34,0.18,10.74,0.35,0.34,0.97,1.3,0.12,17.01,16.99
flame,P_MPI_WOA,NETA,SSE,2,2.19,18.5,0.64,0.82,0.13,0.19,0.16,0.15,-0.03,0.32,9.76,0.3,-0.03,0.96,0.7,0.14,18.5,18.5
flame,P_MPI_MVO,NETA,SSE,2,1.85,14.4,0.64,0.88,0.07,0.07,0.07,0.07,0.02,0.59,8.6,0.31,0.02,0.95,0.94,0.1,20.66,14.4
flame,P_MPI_MFO,NETA,SSE,2,1.64,26.36,0.64,0.8,0.16,0.18,0.17,0.16,0.02,0.6,9.55,0.32,0.02,0.97,0.91,0.09,31.21,26.36
flame,P_MPI_CS,NETA,SSE,2,4.11,147.42,0.64,0.89,0.05,0.13,0.08,0.07,-0.04,0.36,14.47,0.45,-0.04,0.98,1.23,0.17,23.9,23.1
flame,P_MP_SSA,-,SSE,2,1.45,10.21,0.71,0.75,0.21,0.2,0.2,0.2,0.18,0.71,8.89,0.31,0.18,0.97,1.03,0.09,10.31,10.21
flame,P_MP_PSO,-,SSE,2,1.27,8.14,0.64,0.92,0.02,0.02,0.02,0.02,0.01,0.56,8.03,0.3,0.01,0.96,0.94,0.07,10.31,8.14
flame,P_MP_GA,-,SSE,2,1.72,8.56,0.64,0.94,0.01,0.01,0.01,0.0,-0.0,0.52,8.12,0.3,-0.0,0.96,0.95,0.07,9.62,8.56
flame,P_MP_BAT,-,SSE,2,2.26,8.03,0.64,0.94,0.0,0.0,0.0,-0.0,-0.0,0.51,7.97,0.3,-0.0,0.95,0.96,0.06,8.28,8.03
flame,P_MP_FFA,-,SSE,2,2.56,10.31,0.72,0.73,0.23,0.22,0.23,0.22,0.19,0.72,8.97,0.31,0.19,0.97,1.03,0.09,10.31,10.31
flame,P_MP_GWO,-,SSE,2,1.31,9.35,0.64,0.92,0.02,0.02,0.02,0.02,0.01,0.42,8.23,0.31,0.01,0.96,0.97,0.08,10.31,9.35
flame,P_MP_WOA,-,SSE,2,1.27,9.28,0.68,0.81,0.14,0.14,0.14,0.14,0.12,0.68,8.58,0.31,0.12,0.98,1.0,0.09,10.31,9.28
flame,P_MP_MVO,-,SSE,2,1.01,8.38,0.64,0.94,0.01,0.01,0.01,0.0,0.01,0.54,8.09,0.3,0.01,0.96,0.96,0.07,10.31,8.38
flame,P_MP_MFO,-,SSE,2,1.11,10.31,0.72,0.73,0.23,0.22,0.23,0.22,0.19,0.72,8.97,0.31,0.19,0.97,1.03,0.09,10.31,10.31
flame,P_MP_CS,-,SSE,2,2.83,8.7,0.64,0.87,0.08,0.08,0.08,0.08,0.05,0.62,8.27,0.3,0.05,0.97,0.94,0.08,9.2,8.7
